views,comments,AFRAID,AMUSED,ANGRY,ANNOYED,DONT_CARE,HAPPY,INSPIRED,SAD
47227110,4553,0.09279423,0.114176605,0.116471805,0.132364529,0.129963201,0.105839372,0.201247416,0.107142843
3200520,265,0.108237614,0.111975264,0.121798938,0.134885372,0.129981294,0.107099515,0.178587583,0.107434419
1636292,124,0.093671715,0.123894356,0.115409578,0.138560187,0.138517692,0.108802429,0.179580337,0.101563706
1697550,200,0.105925864,0.106197401,0.128772087,0.134355708,0.121305465,0.108597426,0.182394467,0.11245158
12005869,593,0.108617148,0.112214739,0.11895936,0.129735265,0.126809477,0.10717324,0.184242774,0.112247996
20685401,672,0.092114256,0.116661635,0.11816977,0.134694871,0.130614767,0.104131462,0.197492442,0.106120797
3769987,919,0.090205499,0.116637894,0.124159897,0.138733003,0.134178108,0.101125535,0.186588126,0.10837194
967741,46,0.097538787,0.118689061,0.120687579,0.135353402,0.127822368,0.112162876,0.183925912,0.103820016
2567958,852,0.097293165,0.122384702,0.12022468,0.139612124,0.126175001,0.101392382,0.192593343,0.100324604
3095993,900,0.092161264,0.113276307,0.123769083,0.137958482,0.132395179,0.102693874,0.19249302,0.105252791
1211416,79,0.100856952,0.108010201,0.11972246,0.133287739,0.12895048,0.108494203,0.192739207,0.107938756
387877,55,0.099785922,0.113760491,0.11929658,0.131574151,0.130935389,0.104004087,0.187999821,0.112643557
693341,71,0.150143172,0.10555703,0.120785687,0.128991707,0.118601471,0.098877006,0.166453987,0.110589939
4531020,242,0.089092955,0.127565972,0.110834876,0.129818126,0.136953114,0.115949678,0.191348087,0.098437192
358304,99,0.094300708,0.116473834,0.116789598,0.13830436,0.134487483,0.110197898,0.184441855,0.105004263
2702470,325,0.081874479,0.125032739,0.103928546,0.135185523,0.134325655,0.110468112,0.204548799,0.104636147
1628912,305,0.079724424,0.134849769,0.103445431,0.133127471,0.145001774,0.115558861,0.196537268,0.091755002
1415724,88,0.110284051,0.109915653,0.120072188,0.12598154,0.120036201,0.109388828,0.186489593,0.117831945
1074081,163,0.096948163,0.123498574,0.110214681,0.130734659,0.131785716,0.10954365,0.196286526,0.100988031
1106561,84,0.095982224,0.117313108,0.123508333,0.141824271,0.132716918,0.104231986,0.185068335,0.099354825
966439,108,0.09347904,0.120359961,0.11306812,0.133804687,0.128345136,0.111084475,0.202249911,0.097608671
6141440,185,0.093987225,0.11994733,0.120949315,0.137144461,0.133604345,0.106552064,0.18640429,0.10141097
518624,50,0.091717895,0.116078465,0.11876621,0.133318636,0.134848002,0.103541384,0.193706743,0.108022665
