speakers,durations,topics,views,descriptions,tags,lengths
James Veitch,588,This is what happens when you reply to spam email,63440723,Suspicious emails unclaimed insurance bonds diamondencrusted safe deposit boxes close friends marooned in a foreign country They pop up in our inboxes and standard procedure is to delete on sight But what happens when you reply Follow along as writer and comedian James Veitch narrates a hilarious weekslong exchange with a spammer who offered to cut him in on a hot deal,comedy|curiosity|communication|humor|technology,0:09:48
Amy Cuddy,1262,Your body language may shape who you are,59281283,NOTE Some of the findings presented in this talk have been referenced in an ongoing debate among social scientists about robustness and reproducibility Read Criticisms amp updates below for more details as well as Amy Cuddys response Body language affects how others see us but it may also change how we see ourselves Social psychologist Amy Cuddy argues that power posing  standing in a posture of confidence even when we dont feel confident  can boost feelings of confidence and might have an impact on our chances for success,body language|brain|business|psychology|self|success|science,0:21:02
Simon Sinek,1084,How great leaders inspire action,52322192,Simon Sinek has a simple but powerful model for inspirational leadership  starting with a golden circle and the question Why  His examples include Apple Martin Luther King Jr and the Wright brothers ,|business|entrepreneur|leadership|success,0:18:04
Bren Brown,1219,The power of vulnerability,50616677,Bren Brown studies human connection  our ability to empathize belong love In a poignant funny talk she shares a deep insight from her research one that sent her on a personal quest to know herself as well as to understand humanity A talk to share,|communication|culture|depression|fear|mental health|psychology|self|social change,0:20:19
Julian Treasure,598,How to speak so that people want to listen,44263258,Have you ever felt like youre talking but nobody is listening Heres Julian Treasure to help In this useful talk the sound expert demonstrates the howtos of powerful speaking  from some handy vocal exercises to tips on how to speak with empathy A talk that might help the world sound more beautiful,culture|sound|speech,0:09:58
Tim Urban,843,Inside the mind of a master procrastinator,44140412,Tim Urban knows that procrastination doesnt make sense but hes never been able to shake his habit of waiting until the last minute to get things done In this hilarious and insightful talk Urban takes us on a journey through YouTube binges Wikipedia rabbit holes and bouts of staring out the window  and encourages us to think harder about what were really procrastinating on before we run out of time,brain|comedy|decision-making|entertainment|goal-setting|humor|Internet|mind|productivity|online video|time|visualizations|work|writing|choice,0:14:03
Bill Gates,512,The next outbreak Were not ready,38167948,In 2014 the world avoided a global outbreak of Ebola thanks to thousands of selfless health workers  plus frankly some very good luck In hindsight we know what we should have done better So nows the time Bill Gates suggests to put all our good ideas into practice from scenario planning to vaccine research to health worker training As he says Theres no need to panic  but we need to get going,disaster relief|disease|ebola|global issues|medicine|war,0:08:32
Sam Berns,765,My philosophy for a happy life,37517358,Born with a rare genetic disorder called progeria Sam Berns knew hed be facing more obstacles in life than most This didnt stop him from taking charge of his own happiness In this moving and inspirational talk Berns lays out the three principles of the personal philosophy that allowed him to do so ,life|happiness|personal growth|self|motivation,0:12:45
Cameron Russell,577,Looks arent everything Believe me Im a model,35716071,Cameron Russell admits she won a genetic lottery shes tall pretty and an underwear model But dont judge her by her looks In this fearless talk she takes a wry look at the industry that had her looking highly seductive at barely 16 years old,|beauty|culture|fashion|photography,0:09:37
Robert Waldinger,766,What makes a good life Lessons from the longest study on happiness,35631128,What keeps us happy and healthy as we go through life If you think its fame and money youre not alone  but according to psychiatrist Robert Waldinger youre mistaken As the director of a 75yearold study on adult development Waldinger has unprecedented access to data on true happiness and satisfaction In this talk he shares three important lessons learned from the study as well as some practical oldasthehills wisdom on how to build a fulfilling long life,|aging|data|health|humanity|life|happiness|relationships|society|time|work-life balance|friendship,0:12:46
Graham Shaw,904,Why people believe they cant draw,33443900,Most people think they cant draw but communications expert Graham Shaw isnt buying it In this fun instructional talk he demonstrates how a few adjustments to your drawing technique and your attitude can leave you with an effective new presentation tool as well as an outlet for your creativity,arts|art|design|potential|personal growth|creativity|presentation|communication,0:15:04
Mary Roach,1003,10 things you didnt know about orgasm,32134391,Bonk author Mary Roach delves into obscure scientific research some of it centuries old to make 10 surprising claims about sexual climax ranging from the bizarre to the hilarious This talk is aimed at adults Viewer discretion advised,culture|history|humor|science|sex|writing|books,0:16:43
Tom Thum,701,The orchestra in my mouth,30928913,In a highly entertaining performance beatboxer Tom Thum slings beats comedy and a mouthful of instrumental impersonations into 11 minutes of creativity and fun that will make you smile,|creativity|live music|music|entertainment,0:11:41
Pamela Meyer,1130,How to spot a liar,29855300,On any given day were lied to from 10 to 200 times and the clues to detect those lies can be subtle and counterintuitive Pamela Meyer author of Liespotting shows the manners and hotspots used by those trained to recognize deception  and she argues honesty is a value worth preserving,culture|psychology|science|society,0:18:50
Apollo Robbins,527,The art of misdirection,28433565,Hailed as the greatest pickpocket in the world Apollo Robbins studies the quirks of human behavior as he steals your watch In a hilarious demonstration Robbins samples the buffet of the TEDGlobal 2013 audience showing how the flaws in our perception make it possible to swipe a wallet and leave it on its owners shoulder while they remain clueless,crime|entertainment,0:08:47
